,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,total_industries_aggr_value
0,2013-12,62,2708,167896,724,3252,2354448,3602,2984,10748368,3624,2520,9132480,637,2848,1814176,563,2696,1517848,685,2224,1523440,2427,2672,6484944,2039,1048,2136872,413,1412,583156,36463628
1,2013-11,71,2708,192268,763,3252,2481276,3631,2984,10834904,3629,2520,9145080,617,2848,1757216,576,2696,1552896,742,2224,1650208,2473,2672,6607856,2036,1048,2133728,423,1412,597276,36952708
2,2013-10,68,2708,184144,749,3252,2435748,3590,2984,10712560,3616,2520,9112320,605,2848,1723040,578,2696,1558288,831,2224,1848144,2464,2672,6583808,1977,1048,2071896,407,1412,574684,36804632
3,2013-09,66,2480,163680,751,3004,2256004,3564,2872,10235808,3662,2496,9140352,619,2480,1535120,579,2512,1454448,749,2096,1569904,2445,2760,6748200,2019,1088,2196672,414,1428,591192,35891380
4,2013-08,73,2480,181040,755,3004,2268020,3613,2872,10376536,3642,2496,9090432,635,2480,1574800,578,2512,1451936,748,2096,1567808,2405,2760,6637800,2028,1088,2206464,421,1428,601188,35956024
5,2013-07,64,2480,158720,769,3004,2310076,3632,2872,10431104,3606,2496,9000576,649,2480,1609520,574,2512,1441888,739,2096,1548944,2398,2760,6618480,1971,1088,2144448,415,1428,592620,35856376
6,2013-06,77,2312,178024,760,2884,2191840,3660,2808,10277280,3656,2444,8935264,632,2744,1734208,586,2568,1504848,708,2092,1481136,2358,2508,5913864,2038,1016,2070608,429,1404,602316,34889388
7,2013-05,73,2312,168776,717,2884,2067828,3646,2808,10237968,3644,2444,8905936,619,2744,1698536,594,2568,1525392,667,2092,1395364,2365,2508,5931420,2049,1016,2081784,435,1404,610740,34623744
8,2013-04,80,2312,184960,703,2884,2027452,3610,2808,10136880,3614,2444,8832616,616,2744,1690304,585,2568,1502280,715,2092,1495780,2474,2508,6204792,2010,1016,2042160,422,1404,592488,34709712
9,2013-03,81,2400,194400,709,2592,1837728,3596,3024,10874304,3606,2608,9404448,600,2840,1704000,594,2592,1539648,694,2024,1404656,2421,2600,6294600,2029,1036,2102044,413,1404,579852,35935680
