,company,date,title,salary,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Consultancy Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Teaching Jobs,Trade & Construction Jobs,Unknown
0,Heartland Express,2018-02-01,CDL-A Truck Driver - Great Pay and Routes,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Heartland Express,2018-02-01,Class A CDL Truck Driver,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,"RPM Consolidated Services, Inc.",2018-02-01,Class A Line Driver,0,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,adidas,2018-06-01,Retail Team Leader - Camarillo 132,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Superprof,2018-07-01,"Superprof, the USA’s 1 tutoring network, is offering you the chance to become a private Academic English tutor - Camarillo",0,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,adidas,2018-07-01,Retail Assistant Manager - Camarillo 132,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,CVS Health,2018-08-01,Pharmacy Technician - Target Store,0,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,CVS Health,2018-08-01,Pharmacy Technician,0,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,CVS Health,2018-08-01,Shift Supervisor Management Trainee,0,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,CVS Health,2018-08-01,Retail Store Associate,0,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Puma North America Inc.,2018-08-01,Retail Sales Associate - Camarillo,0,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,Puma North America Inc.,2018-08-01,Retail Supervisor,0,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Care.com,2018-08-01,Full Time Nanny,0,Social work Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,Kroger,2018-08-01,Ralphs Front End Hourly Associate,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Kroger,2018-08-01,Ralphs Grocery/Stocking Hourly Associate,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Kroger,2018-08-01,Ralphs Fresh Hourly Associate,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,OTJobs.com,2018-09-01,"Camarillo, CA- Full-Time Occupational Therapist Job",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Sitter,2018-09-01,"Sitter Wanted - Seeking A Well Trained Baby Sitter In Camarillo, California",0,Domestic help & Cleaning Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Dignity Health,2018-09-01,Registered Nurse,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Dignity Health,2018-09-01,Registered Nurse,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Hub Group Trucking,2018-09-01,Dedicated CDL-A Driver - Top Tier Hourly &plus; Overtime [185],0,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Avon,2018-09-01,"AVON Sales Representative / Sales Leader - Work from Home, Earn 40% Commission on all Sales",0,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Avon,2018-09-01,Independent AVON Sales Representative - Work from Home / Build your own business,0,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Sunbelt Rentals, Inc.",2018-10-01,Driver ( Non CDL),0,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Robert Half Technology,2018-10-01,Database Administrator,0,IT Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,MJ Tank Lines,2018-10-01,Local Class A Truck Driver- Camarillo CA,0,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,CVS Caremark,2018-10-01,Store Team Member,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,CVS Pharmacy,2018-10-01,Clerk/Cashier,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,Travel HealthCare Jobs,2018-10-01,Travel Nurse RN - OR Pediatric Surgery,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Travel HealthCare Jobs,2018-10-01,RN Travel Nurse - MICU Medical Intensive Care,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Travel HealthCare Jobs,2018-10-01,Burn Unit RN Travel Nurse Jobs,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Travel HealthCare Jobs,2018-10-01,Travel Nurse RN - NICU Neonatal Intensive Care,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Travel HealthCare Jobs,2018-10-01,Travel Nurse RN - ICU Trauma Unit,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Travel HealthCare Jobs,2018-10-01,RN Travel Nurse - ED/ER Emergency Department,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Travel HealthCare Jobs,2018-10-01,Travel Nurse RN - OR Trauma Surgery,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Travel HealthCare Jobs,2018-10-01,RN Travel Nurse - OR Transplant Surgery,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Nike Inc.,2018-10-01,Converse Camarillo Seasonal Associate,0,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,Travel HealthCare Jobs,2018-10-01,Travel Nurse RN - SICU Surgical Intensive Care,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Nike Inc.,2018-10-01,Hurley Camarillo Seasonal Associate,0,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,Travel HealthCare Jobs,2018-10-01,Travel Nurse RN - OR Transplant Surgery,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Travel HealthCare Jobs,2018-10-01,Travel Nurse RN - ICU Intensive Care Unit,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Travel HealthCare Jobs,2018-10-01,RN Travel Nurse - PICU Pediatrics Intensive Care,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Soliant Health,2018-10-01,"Full Time School Speech Language Pathologist (SLP) Job: Camarillo, CA",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,Soliant Health,2018-10-01,California Occupational Therapist Needed,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,Soliant Health,2018-10-01,"School Speech Therapy (SLP) Job- Camarillo, CA area",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,Soliant Health,2018-10-01,Speech Language Pathologist,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,Soliant Health,2018-10-01,"Full Time - Speech Language Pathologist - Camarillo, California",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,Soliant Health,2018-10-01,"Camarillo, CA- Full-Time Occupational Therapist Job",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,Soliant Health,2018-10-01,"Part Time SLP Job Opportunity near Camarillo, CA",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,VIPKid,2018-10-01,Part-time English Teacher (Work From Home) - Make up to $22/hr - Apply now,0,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,CyberCoders,2018-10-01,"Audit Manager, CPA",0,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,OSI Systems,2018-10-01,Quality Engineer,0,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"Parker Hannifin, Corporation",2018-10-01,Lean Leader Plant,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,Molex,2018-10-01,Senior Quality Engineer,0,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Teledyne Scientific & Imaging,2018-10-01,Process Engineer,0,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
