,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
35,2014-01,240,2012,482880,10048,3684,37016832,14863,6376,94766488,41538,2644,109826472,3371,4116,13875036,10198,5536,56456128,32905,3448,113456440,27626,3812,105310312,30653,1424,43649872,5660,2404,13606640,3.0,2308.0,6924.0,588454024.0
34,2014-02,215,2012,432580,10123,3684,37293132,14899,6376,94996024,41438,2644,109562072,3420,4116,14076720,10383,5536,57480288,33913,3448,116932024,27814,3812,106026968,30715,1424,43738160,5678,2404,13649912,0.0,2308.0,0.0,594187880.0
33,2014-03,163,2012,327956,10179,3684,37499436,14969,6376,95442344,41436,2644,109556784,3469,4116,14278404,10330,5536,57186880,34531,3448,119062888,28041,3812,106892292,32025,1424,45603600,5729,2404,13772516,0.0,2308.0,0.0,599623100.0
32,2014-04,237,1980,469260,10432,3780,39432960,15038,5404,81265352,42096,2620,110291520,3531,3920,13841520,10380,4220,43803600,34980,3380,118232400,28040,3768,105654720,34006,1540,52369240,5869,2464,14461216,,,,
31,2014-05,233,1980,461340,10748,3780,40627440,15068,5404,81427472,42593,2620,111593660,3545,3920,13896400,10535,4220,44457700,35140,3380,118773200,28170,3768,106144560,35092,1540,54041680,5902,2464,14542528,,,,
30,2014-06,380,1980,752400,10987,3780,41530860,15272,5404,82529888,43300,2620,113446000,3541,3920,13880720,10577,4220,44634940,34648,3380,117110240,28062,3768,105737616,35466,1540,54617640,6056,2464,14921984,,,,
29,2014-07,265,2192,580880,10888,3792,41287296,15306,5208,79713648,42653,2656,113286368,3553,3832,13615096,10520,4220,44394400,34164,3408,116430912,27864,4020,112013280,35160,1532,53865120,6106,2500,15265000,,,,
28,2014-08,224,2192,491008,10853,3792,41154576,15286,5208,79609488,42636,2656,113241216,3531,3832,13530792,10612,4220,44782640,34212,3408,116594496,28145,4020,113142900,34929,1532,53511228,6057,2500,15142500,,,,
27,2014-09,208,2192,455936,10691,3792,40540272,15254,5208,79442832,42410,2656,112640960,3490,3832,13373680,10680,4220,45069600,34590,3408,117882720,28077,4020,112869540,33765,1532,51727980,5973,2500,14932500,,,,
26,2014-10,225,2264,509400,10860,4152,45090720,15325,5504,84348800,42911,2796,119979156,3532,4368,15427776,10826,4768,51618368,34797,3788,131811036,28426,4048,115068448,33480,1588,53166240,6050,2744,16601200,,,,
25,2014-11,215,2264,486760,10986,4152,45613872,15373,5504,84612992,44129,2796,123384684,3592,4368,15689856,10877,4768,51861536,34894,3788,132178472,28469,4048,115242512,33180,1588,52689840,6027,2744,16538088,,,,
24,2014-12,181,2264,409784,11140,4152,46253280,15478,5504,85190912,44537,2796,124525452,3613,4368,15781584,10979,4768,52347872,34927,3788,132303476,28534,4048,115505632,32671,1588,51881548,5967,2744,16373448,,,,
23,2015-01,168,1900,319200,10900,3768,41071200,15430,5944,91715920,41612,2740,114016880,3450,4136,14269200,10972,5736,62935392,33630,3468,116628840,28073,3928,110270744,32062,1476,47323512,5909,2560,15127040,,,,
22,2015-02,200,1900,380000,11048,3768,41628864,15633,5944,92922552,41459,2740,113597660,3487,4136,14422232,10979,5736,62975544,34476,3468,119562768,28304,3928,111178112,32392,1476,47810592,5917,2560,15147520,,,,
21,2015-03,211,1900,400900,11131,3768,41941608,15427,5944,91698088,42135,2740,115449900,3449,4136,14265064,11045,5736,63354120,34869,3468,120925692,28460,3928,111790880,33899,1476,50034924,5991,2560,15336960,,,,
20,2015-04,228,2152,490656,11094,3936,43665984,15363,4920,75585960,42742,2700,115403400,3494,4152,14507088,11111,4364,48488404,35382,3436,121572552,28502,3904,111271808,35224,1612,56781088,6046,2636,15937256,,,,
19,2015-05,227,2152,488504,11258,3936,44311488,15434,4920,75935280,43132,2700,116456400,3506,4152,14556912,11225,4364,48985900,35837,3436,123135932,28667,3904,111915968,36429,1612,58723548,6166,2636,16253576,,,,
18,2015-06,433,2152,931816,11459,3936,45102624,15670,4920,77096400,43513,2700,117485100,3516,4152,14598432,11316,4364,49383024,35844,3436,123159984,28386,3904,110818944,36732,1612,59211984,6271,2636,16530356,,,,
17,2015-07,288,2156,620928,11395,3956,45078620,15759,5516,86926644,43594,2776,121016944,3549,4028,14295372,11152,4508,50273216,35262,3512,123840144,28547,4100,117042700,36894,1584,58440096,6288,2620,16474560,,,,
16,2015-08,187,2156,403172,11407,3956,45126092,15792,5516,87108672,43676,2776,121244576,3537,4028,14247036,11273,4508,50818684,35647,3512,125192264,28841,4100,118248100,36505,1584,57823920,6193,2620,16225660,,,,
15,2015-09,187,2156,403172,11329,3956,44817524,15839,5516,87367924,43098,2776,119640048,3526,4028,14202728,11169,4508,50349852,35779,3512,125655848,28965,4100,118756500,34981,1584,55409904,6121,2620,16037020,,,,
14,2015-10,189,2820,532980,11524,4460,51397040,15716,5728,90021248,43798,2952,129291696,3585,4348,15587580,11356,4840,54963040,36509,4056,148080504,29210,4316,126070360,35385,1644,58172940,6155,2900,17849500,,,,
13,2015-11,175,2820,493500,11629,4460,51865340,15721,5728,90049888,44622,2952,131724144,4163,4348,18100724,11466,4840,55495440,36627,4056,148559112,29369,4316,126756604,35151,1644,57788244,6216,2900,18026400,,,,
12,2015-12,163,2820,459660,11692,4460,52146320,15693,5728,89889504,45071,2952,133049592,3663,4348,15926724,11632,4840,56298880,36668,4056,148725408,29167,4316,125884772,34856,1644,57303264,6303,2900,18278700,,,,
11,2016-01,168,2212,371616,11685,4024,47020440,15768,5832,91958976,43497,2776,120747672,3702,4208,15578016,10886,6004,65359544,35285,3644,128578540,28560,3876,110698560,34082,1508,51395656,6121,2720,16649120,,,,
10,2016-02,175,2212,387100,11793,4024,47455032,16126,5832,94046832,43601,2776,121036376,3691,4208,15531728,10976,6004,65899904,35633,3644,129846652,28805,3876,111648180,34391,1508,51861628,6156,2720,16744320,,,,
