,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
0,2013-12,774,5700,4411800,12352,4780,59042560,15911,7020,111695220,24336,3112,75733632,1363,3548,4835924,4252,4320,18368640,11493,4908,56407644,16931,3436,58174916,10642,1280,13621760,3587,3164,11349268,13,992,12896,413654260
1,2013-11,779,5700,4440300,12570,4780,60084600,15844,7020,111224880,24048,3112,74837376,1352,3548,4796896,4253,4320,18372960,11564,4908,56756112,16952,3436,58247072,10584,1280,13547520,3495,3164,11058180,13,992,12896,413378792
2,2013-10,780,5700,4446000,12766,4780,61021480,15832,7020,111140640,23567,3112,73340504,1339,3548,4750772,4196,4320,18126720,11518,4908,56530344,16822,3436,57800392,10556,1280,13511680,3418,3164,10814552,13,992,12896,411495980
3,2013-09,674,5184,3494016,12019,4604,55335476,15809,6576,103959984,23327,2992,69794384,1219,3528,4300632,4235,3616,15313760,11389,3768,42913752,16855,3048,51374040,10810,1220,13188200,3251,2796,9089796,12,1588,19056,368783096
4,2013-08,673,5184,3488832,11769,4604,54184476,15789,6576,103828464,23571,2992,70524432,1235,3528,4357080,4233,3616,15306528,11386,3768,42902448,16990,3048,51785520,10876,1220,13268720,3237,2796,9050652,13,1588,20644,368717796
5,2013-07,709,5184,3675456,11698,4604,53857592,15701,6576,103249776,23342,2992,69839264,1232,3528,4346496,4263,3616,15415008,11324,3768,42668832,16888,3048,51474624,10917,1220,13318740,3282,2796,9176472,13,1588,20644,367042904
6,2013-06,717,5276,3782892,12346,4668,57631128,15810,6636,104915160,23613,3020,71311260,1244,3688,4587872,4279,3660,15661140,11444,3988,45638672,16853,3008,50693824,11422,1224,13980528,3336,2936,9794496,13,1888,24544,378021516
7,2013-05,688,5276,3629888,12491,4668,58307988,15568,6636,103309248,23545,3020,71105900,1220,3688,4499360,4219,3660,15441540,11385,3988,45403380,16984,3008,51087872,11539,1224,14123736,3385,2936,9938360,13,1888,24544,376871816
8,2013-04,680,5276,3587680,12713,4668,59344284,15583,6636,103408788,23101,3020,69765020,1208,3688,4455104,4232,3660,15489120,11509,3988,45897892,17073,3008,51355584,11461,1224,14028264,3314,2936,9729904,8,1888,15104,377076744
9,2013-03,654,5128,3353712,12956,4648,60219488,15712,7996,125633152,23086,3224,74429264,1221,3780,4615380,4236,3848,16300128,11599,3904,45282496,17076,2856,48769056,11153,1192,13294376,3958,3784,14977072,11,2124,23364,406897488
10,2013-02,655,5128,3358840,12969,4648,60279912,15538,7996,124241848,22990,3224,74119760,1224,3780,4626720,4198,3848,16153904,11396,3904,44489984,17180,2856,49066080,10986,1192,13095312,4454,3784,16853936,11,2124,23364,406309660
11,2013-01,652,5128,3343456,12429,4648,57769992,15403,7996,123162388,23024,3224,74229376,1220,3780,4611600,4219,3848,16234712,11108,3904,43365632,16936,2856,48369216,10781,1192,12850952,3411,3784,12907224,11,2124,23364,396867912
12,2012-12,643,5420,3485060,14156,4984,70553504,15750,7140,112455000,24110,3116,75126760,1209,3816,4613544,4257,4032,17164224,11825,5136,60733200,17005,3480,59177400,10952,1276,13974752,3000,2436,7308000,9,2076,18684,424610128
13,2012-11,653,5420,3539260,14382,4984,71679888,15860,7140,113240400,23733,3116,73952028,1217,3816,4644072,4271,4032,17220672,11742,5136,60306912,17020,3480,59229600,10909,1276,13919884,3017,2436,7349412,9,2076,18684,425100812
14,2012-10,657,5420,3560940,14844,4984,73982496,15870,7140,113311800,23374,3116,72833384,1208,3816,4609728,4280,4032,17256960,11772,5136,60460992,16935,3480,58933800,10802,1276,13783352,3009,2436,7329924,4,2076,8304,426071680
15,2012-09,663,5116,3391908,14721,4772,70248612,16154,6332,102287128,22984,2952,67848768,1185,3504,4152240,4310,3380,14567800,11928,3684,43942752,16984,2908,49389472,11116,1276,14184016,2987,2296,6858152,12,1428,17136,376887984
16,2012-08,659,5116,3371444,15044,4772,71789968,16402,6332,103857464,23046,2952,68031792,1192,3504,4176768,4318,3380,14594840,11903,3684,43850652,16875,2908,49072500,11077,1276,14134252,2969,2296,6816824,11,1428,15708,379712212
17,2012-07,659,5116,3371444,14805,4772,70649460,16306,6332,103249592,22918,2952,67653936,1201,3504,4208304,4301,3380,14537380,12165,3684,44815860,16711,2908,48595588,10900,1276,13908400,2957,2296,6789272,12,1428,17136,377796372
18,2012-06,643,4864,3127552,15744,4604,72485376,16415,6512,106894480,23050,2928,67490400,1208,3480,4203840,4316,3408,14708928,12439,3904,48561856,16803,2940,49400820,11101,1400,15541400,3051,2316,7066116,10,920,9200,389489968
19,2012-05,607,4864,2952448,16448,4604,75726592,16424,6512,106953088,22947,2928,67188816,1195,3480,4158600,4273,3408,14562384,12390,3904,48370560,16782,2940,49339080,11019,1400,15426600,3044,2316,7049904,10,920,9200,391737272
