,company,date,title,salary,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Consultancy Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Unknown
0,Perspecta,2018-06,Cyber Systems Engineer Senior Technical Specialist,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Perspecta,2018-06,"National Security Open Opportunities - Annapolis Junction, MD",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Spectrum Healthcare Resources,2018-07,Registered Nurse,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Hearst Television,2018-07,Account Executive,0,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Hearst Television,2018-07,Director Producer,0,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,2020 Companies,2018-07,NRG Retail Sales Associate - FT,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Care.com,2018-08,Family Looking for Preschool for Newborn,0,Social work Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Spectrum Healthcare Resources,2018-09,Registered Nurse,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,"Cardinal Health, Inc.",2018-09,"Enterprise Sales Executive, CIMS",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,Baltimore Business Journal,2018-09,Advertising Sales Executive,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,Absolute Staffers,2018-09,Registered Nurse,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,VariQ Corporation,2018-09,Junior Staff Accountant,0,IT Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Care.com,2018-09,Nanny Needed For 1 Child In Annapolis,0,Social work Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,"ADT Security Services, Inc.",2018-09,Commercial Security Consultant,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,"Hayman Daugherty Associates, Inc",2018-09,Emergency Medicine Physician Job Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,"Hayman Daugherty Associates, Inc",2018-09,Internal Medicine Physician Job Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,SourceMD,2018-09,OBGYN opportunity- Northern VA and Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,SourceMD,2018-09,Urgent Care Opportunity- Maryland/ DC/ area,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,SourceMD,2018-09,Pediatric Opportunity- Maryland/ DC/ area,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,"Hayman Daugherty Associates, Inc",2018-09,ObGyn Physician Job Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,Wexford Health Sources,2018-09,"Excellent Physician Opportunity - Salisbury, MD",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,SourceMD,2018-09,Gastroenterology opportunity- Maryland/ DC,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,FCSpsy,2018-09,Adult Psychiatrist,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,Patient First,2018-09,"Pediatrician for Urgent/Primary Care Practice - Greater Baltimore, MD",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,TeedCo. Healthcare Recruiting,2018-09,Hospitalist-7 on/7 off,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,"Teladoc Physicians, P.A.",2018-09,PsychiatristsSupplement Your Income,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,"DOCTORS CHOICE PLACEMENT SERVICES, INC.",2018-09,Metro Maryland/Washington DC - GI Opportunity,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,Alpha Medical Group,2018-09,Growing multispecialty group seeks entrepreneurial Gastroenterologist for exciting opportunity,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,Physician Providers Mgmt. Corp.,2018-09,Hospitalist opportunity available in MD,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,FCSpsy,2018-09,Psychiatric Medical Director,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,Physician Providers Mgmt. Corp.,2018-09,"Gastroenterology opportunity in Baltimore, MD.",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,Alliance Recruiting Resources,2018-09,Psych Full Time locum Needed near Baltimore,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,Physician Providers Mgmt. Corp.,2018-09,Gastroenterology opportunity in Maryland ( Near Ocean City ),0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,"DOCTORS CHOICE PLACEMENT SERVICES, INC.",2018-09,Southern Maryland Opportunity,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
