,company,date,title,salary,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Consultancy Jobs,Customer Services Jobs,Engineering Jobs,Graduate Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Sales Jobs,Scientific & QA Jobs,Teaching Jobs,Trade & Construction Jobs,Unknown
0,DELL,2018-03,"Account Executive, Public Sector Accounts (Remote: Raleigh, NC)",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Capgemini,2018-07,Software Engineer,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Capgemini,2018-07,Senior Software Engineer,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Hearst Television,2018-07,Photographer,0,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Cox Media Group,2018-07,Multi-Media Reporter - Telemundo Charlotte,0,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,Hearst Television,2018-08,Account Executive,0,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,DELL,2018-08,Client Principal,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Capgemini,2018-08,Data Privacy Leader,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,DELL,2018-09,"GCCS Account Executive - Charlotte, NC",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Cox Media Group,2018-09,Promotion Producer Telemundo,0,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Cox Media Group,2018-09,Anchor,0,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,DELL,2018-09,"GCCS Account Executive - Richmond, VA",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,NetApp,2018-09,Lead Management Analyst (26617),0,IT Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,Capgemini,2018-09,Data Quality Developer/ Ab Initio - DQE,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,"Hayman Daugherty Associates, Inc",2018-09,Emergency Medicine Physician Job North Carolina,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,"Hayman Daugherty Associates, Inc",2018-09,ObGyn Physician Job North Carolina,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,"Hayman Daugherty Associates, Inc",2018-09,Coastal North Carolina OB/Gyn,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
