,Admin Jobs,Charity & Voluntary Jobs,Consultancy Jobs,Creative & Design Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2018-02-28,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-03-31,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2018-04-30,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
2018-05-31,0,0,1,0,0,0,0,0,0,7,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4
2018-06-30,0,0,2,0,0,0,0,1,0,4,0,12,0,3,0,0,4,0,0,0,0,0,0,0,0,0,13
2018-07-31,0,0,1,0,0,0,0,0,0,1,0,18,0,1,0,0,4,0,0,0,0,0,4,3,0,0,31
2018-08-31,0,0,9,0,0,2,0,2,0,19,0,31,0,6,0,0,10,1,0,4,1,0,3,2,0,2,76
2018-09-30,3,0,11,1,0,0,0,7,0,63,0,35,0,0,0,0,10,2,0,0,0,0,1,7,0,1,65
2018-10-31,0,0,6,4,0,0,5,14,0,18,0,61,0,6,1,0,14,0,0,0,9,0,1,4,0,0,188
2018-11-30,3,0,25,1,0,0,49,25,1,45,4,100,0,24,0,2,35,9,13,2,4,0,7,23,0,1,477
2018-12-31,63,1,114,13,32,16,2,90,12,295,184,548,9,44,23,6,208,54,26,29,103,77,28,125,72,12,955
