,company,date,title,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Consultancy Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Retail Jobs,Sales Jobs,Teaching Jobs,Trade & Construction Jobs,Unknown
0,Superprof,2018-07-01,"Superprof, the USA’s 1 tutoring network, is offering you the chance to become a private Academic English tutor - Cleveland",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,Babysits,2018-07-01,Babysitter wanted in Cleveland - babysitting Cleveland,Domestic help & Cleaning Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dollar General,2018-08-01,"LEAD SALES ASSOCIATE-FT in CLEVELAND, AL",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,First Future,2018-09-01,"ESL teacher,high salary,no commuting",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,BlingABC by XDF,2018-09-01,Teach English Online From Home,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,First Future,2018-09-01,Online ESL English Teacher Wanted,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,First Future,2018-09-01,Part-time English Teacher working onl,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,First Future,2018-09-01,Online ESL- English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,First Future,2018-09-01,Online ESL Teachers for Chinese stude,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,ESL Suite,2018-09-01,Online EFL/English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
