,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
0,2017-12,385,4432,1706320,387,2588,1001556,807,3436,2772852,2241,2520,5647320,123,3268,401964,334,3316,1107544,844,2328,1964832,2555,3324,8492820,2758,2176,6001408,393,2380,935340,,,,
1,2017-11,389,4432,1724048,389,2588,1006732,805,3436,2765980,2207,2520,5561640,114,3268,372552,332,3316,1100912,839,2328,1953192,2537,3324,8432988,2791,2176,6073216,376,2380,894880,,,,
2,2017-10,388,4432,1719616,401,2588,1037788,804,3436,2762544,2220,2520,5594400,116,3268,379088,332,3316,1100912,843,2328,1962504,2556,3324,8496144,2890,2176,6288640,401,2380,954380,,,,
3,2017-09,390,4212,1642680,405,2520,1020600,836,3104,2594944,2221,2424,5383704,117,3224,377208,336,2820,947520,868,2300,1996400,2555,3136,8012480,2998,2272,6811456,424,2080,881920,,,,
4,2017-08,373,4212,1571076,406,2520,1023120,836,3104,2594944,2237,2424,5422488,112,3224,361088,339,2820,955980,923,2300,2122900,2590,3136,8122240,3348,2272,7606656,445,2080,925600,,,,
5,2017-07,348,4212,1465776,428,2520,1078560,842,3104,2613568,2270,2424,5502480,121,3224,390104,337,2820,950340,900,2300,2070000,2606,3136,8172416,3248,2272,7379456,446,2080,927680,,,,
6,2017-06,348,3792,1319616,432,3192,1378944,832,3052,2539264,2252,2384,5368768,118,3072,362496,343,2772,950796,897,2200,1973400,2590,3224,8350160,3146,2032,6392672,456,2044,932064,,,,
7,2017-05,341,3792,1293072,397,3192,1267224,834,3052,2545368,2247,2384,5356848,121,3072,371712,333,2772,923076,850,2200,1870000,2599,3224,8379176,2895,2032,5882640,408,2044,833952,,,,
8,2017-04,337,3792,1277904,394,3192,1257648,823,3052,2511796,2238,2384,5335392,117,3072,359424,342,2772,948024,857,2200,1885400,2604,3224,8395296,2735,2032,5557520,391,2044,799204,,,,
9,2017-03,341,3960,1350360,391,2308,902428,811,3176,2575736,2244,2424,5439456,107,3288,351816,337,2944,992128,860,2260,1943600,2581,3036,7835916,2584,2108,5447072,344,2004,689376,,,,
10,2017-02,339,3960,1342440,381,2308,879348,820,3176,2604320,2233,2424,5412792,111,3288,364968,336,2944,989184,840,2260,1898400,2592,3036,7869312,2560,2108,5396480,337,2004,675348,,,,
11,2017-01,340,3960,1346400,391,2308,902428,817,3176,2594792,2269,2424,5500056,115,3288,378120,332,2944,977408,836,2260,1889360,2601,3036,7896636,2603,2108,5487124,336,2004,673344,,,,
12,2016-12,328,3636,1192608,403,2756,1110668,824,3372,2778528,2377,2396,5695292,116,3536,410176,354,3228,1142712,828,2392,1980576,2652,3236,8581872,2746,2140,5876440,386,2372,915592,18.0,3568.0,64224.0,29748688.0
13,2016-11,331,3636,1203516,422,2756,1163032,817,3372,2754924,2354,2396,5640184,112,3536,396032,357,3228,1152396,843,2392,2016456,2640,3236,8543040,2778,2140,5944920,397,2372,941684,18.0,3568.0,64224.0,29820408.0
14,2016-10,325,3636,1181700,426,2756,1174056,833,3372,2808876,2291,2396,5489236,116,3536,410176,356,3228,1149168,847,2392,2026024,2629,3236,8507444,2876,2140,6154640,420,2372,996240,18.0,3568.0,64224.0,29961784.0
15,2016-09,356,3820,1359920,450,2604,1171800,819,3052,2499588,2220,2468,5478960,112,3628,406336,356,2896,1030976,864,2280,1969920,2650,3248,8607200,2904,2108,6121632,423,2048,866304,17.0,3976.0,67592.0,29580228.0
16,2016-08,325,3820,1241500,449,2604,1169196,814,3052,2484328,2273,2468,5609764,112,3628,406336,354,2896,1025184,911,2280,2077080,2621,3248,8513008,3185,2108,6713980,419,2048,858112,18.0,3976.0,71568.0,30170056.0
17,2016-07,321,3820,1226220,461,2604,1200444,834,3052,2545368,2259,2468,5575212,110,3628,399080,352,2896,1019392,865,2280,1972200,2580,3248,8379840,3075,2108,6482100,454,2048,929792,18.0,3976.0,71568.0,29801216.0
18,2016-06,424,4752,2014848,404,2396,967984,799,2956,2361844,2298,2332,5358936,114,3100,353400,370,2884,1067080,843,2272,1915296,2595,3000,7785000,2977,2080,6192160,388,2044,793072,17.0,3464.0,58888.0,28868508.0
19,2016-05,413,4752,1962576,383,2396,917668,796,2956,2352976,2317,2332,5403244,114,3100,353400,361,2884,1041124,845,2272,1919840,2586,3000,7758000,2855,2080,5938400,418,2044,854392,17.0,3464.0,58888.0,28560508.0
20,2016-04,431,4752,2048112,371,2396,888916,775,2956,2290900,2297,2332,5356604,113,3100,350300,365,2884,1052660,837,2272,1901664,2620,3000,7860000,2741,2080,5701280,399,2044,815556,16.0,3464.0,55424.0,28321416.0
21,2016-03,448,4484,2008832,345,2040,703800,784,3144,2464896,2281,2284,5209804,108,3260,352080,355,2636,935780,806,2100,1692600,2628,2900,7621200,2498,1992,4976016,377,1960,738920,,,,
22,2016-02,427,4484,1914668,317,2040,646680,779,3144,2449176,2265,2284,5173260,100,3260,326000,337,2636,888332,781,2100,1640100,2557,2900,7415300,2452,1992,4884384,336,1960,658560,,,,
23,2016-01,413,4484,1851892,348,2040,709920,778,3144,2446032,2307,2284,5269188,111,3260,361860,333,2636,877788,758,2100,1591800,2580,2900,7482000,2459,1992,4898328,329,1960,644840,,,,
24,2015-12,436,5060,2206160,351,2660,933660,779,3240,2523960,2341,2504,5861864,132,3264,430848,352,3184,1120768,801,2348,1880748,2750,3192,8778000,2794,2120,5923280,353,2488,878264,,,,
25,2015-11,445,5060,2251700,378,2660,1005480,758,3240,2455920,2306,2504,5774224,133,3264,434112,343,3184,1092112,788,2348,1850224,2727,3192,8704584,2859,2120,6061080,369,2488,918072,,,,
