,Admin Jobs,Charity & Voluntary Jobs,Consultancy Jobs,Creative & Design Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,Graduate Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Part time Jobs,Property Jobs,Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2018-02-28,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2018-03-31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
2018-04-30,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018-05-31,0,0,1,0,1,1,0,0,0,0,1,0,3,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,12
2018-06-30,0,0,7,0,0,6,0,0,0,0,2,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10
2018-07-31,0,0,3,0,0,3,0,0,0,0,0,0,55,0,2,0,0,0,6,0,0,0,0,0,5,4,0,0,75
2018-08-31,0,0,13,1,0,1,0,1,0,0,16,0,39,6,2,0,0,6,4,0,0,3,6,0,1,2,0,0,29
2018-09-30,3,0,11,0,1,1,0,2,0,0,280,0,57,3,7,0,0,4,6,0,1,2,2,0,0,7,0,0,41
2018-10-31,3,0,20,50,0,1,0,14,0,0,16,0,73,2,13,0,0,5,8,0,2,0,7,0,0,3,0,0,272
2018-11-30,2,0,27,25,0,2,23,30,0,0,31,8,99,3,37,3,0,22,10,3,1,15,4,0,1,20,0,0,638
2018-12-31,147,8,270,57,52,37,6,112,9,21,432,128,784,64,94,43,32,240,123,0,52,59,163,23,15,83,128,6,1414
