,company,date,title,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
0,Select Source International,2018-06-01,Financial Analyst III,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Select Source International,2018-06-01,Customer Service Representative I,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Superprof,2018-07-01,"Superprof, the USA’s 1 tutoring network, is offering you the chance to become a private Academic English tutor - Memphis",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,ACDi,2018-08-01,Business Operations Associate Analyst-98740,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,ACDi,2018-08-01,Entry Level HR Specialist - 35340,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,First Future,2018-09-01,Part-time English Teacher working onl,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,BlingABC by XDF,2018-09-01,Teach English Online From Home,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,First Future,2018-09-01,Online ESL English Teacher Wanted,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,First Future,2018-09-01,Online ESL Teachers for Chinese stude,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,First Future,2018-09-01,Online ESL- English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,First Future,2018-09-01,"ESL teacher,high salary,no commuting",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,ESL Suite,2018-09-01,Online EFL/English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,Nike Inc.,2018-10-01,Nike Seasonal Athlete NCS US MEMPHIS,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Nike Inc.,2018-10-01,"Global & North America, Technical Services Manager",Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Nike Inc.,2018-10-01,Senior Industrial Engineer,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Nike Inc.,2018-10-01,Industrial Engineer,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Jamie Homa and Associates,2018-10-01,Inventory Sales Management Coordinator,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Jamie Homa and Associates,2018-10-01,Junior Accountant,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,BlingABC by XDF,2018-10-01,Online ESL teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,BlingABC by XDF,2018-10-01,Online ESL Teacher $28-$36USD per 90,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,VIPKid,2018-11-01,Online ESL Tutor for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,Ferrellgas,2018-11-01,Class A Transport Driver,"Energy, Oil & Gas Jobs",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Hitachi,2018-11-01,Deputy Site Manager (Bilingual Japanese),"Energy, Oil & Gas Jobs",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Valero,2018-11-01,Electrician - Experienced,"Energy, Oil & Gas Jobs",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Target Corporation,2018-11-01,Visual Merchandiser,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Babysits,2018-11-01,Babysitter wanted in Memphis - babysitting Memphis,Domestic help & Cleaning Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Nike Inc.,2018-11-01,Portfolio PMO Manager,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Nike Inc.,2018-11-01,Transition Manager,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
