,Admin Jobs,Charity & Voluntary Jobs,Consultancy Jobs,Creative & Design Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,Graduate Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Part time Jobs,Property Jobs,Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
2018-01-31,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2018-02-28,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2018-03-31,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2018-04-30,0,0,1,0,0,0,0,0,0,0,2,0,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2018-05-31,0,0,4,0,0,2,0,0,0,0,2,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19
2018-06-30,0,0,13,0,0,0,0,1,0,0,0,0,163,3,3,0,0,3,10,0,0,0,0,0,0,0,0,0,48
2018-07-31,0,0,8,0,0,2,0,1,0,0,3,0,103,1,1,0,0,0,3,0,0,0,0,1,6,3,0,0,39
2018-08-31,30,0,23,4,0,0,0,2,0,0,14,0,126,0,1,0,0,8,2,0,0,2,2,0,2,2,2,0,113
2018-09-30,23,0,25,4,0,1,0,4,0,0,111,0,228,1,0,0,1,8,17,0,0,0,3,0,3,7,0,0,99
2018-10-31,9,0,38,44,1,1,15,50,0,0,13,0,293,4,6,0,4,18,18,0,3,11,6,136,6,5,2,0,465
2018-11-30,24,0,158,20,110,1,68,39,0,166,157,5,1206,30,25,1,18,95,859,3,10,36,286,51,27,28,5,1,1888
2018-12-31,188,9,430,32,102,25,13,135,0,112,313,133,2895,60,34,21,22,332,591,0,42,47,275,196,78,78,56,2,3282
