,Consultancy Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,Graduate Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Sales Jobs,Teaching Jobs,Trade & Construction Jobs,Unknown
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2018-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6
2018-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,3
2018-10-31,0,1,17,0,0,0,0,0,0,0,0,0,0,4,0,2,0,5
2018-11-30,0,7,16,0,0,0,1,0,0,0,1,1,0,7,0,6,0,5
2018-12-31,1,0,2,7,2,6,3,1,4,0,2,23,2,34,1,5,0,9
