,company,date,title,All_Sectors,Admin Jobs,Engineering Jobs,Healthcare & Nursing Jobs,Logistics & Warehouse Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Retail Jobs,Sales Jobs,Teaching Jobs,Unknown
0,Calspan,2018-05-01,Performance Tire Test Engineer,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
1,Calspan,2018-05-01,Automotive Crash Test Engineer,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
2,Superprof,2018-07-01,"Superprof, the USA’s 1 tutoring network, is offering you the chance to become a private Oral expression - English tutor - Buffalo",Teaching Jobs,0,0,0,0,0,0,0,0,1,0
3,CSM Bakery Solutions,2018-07-01,Warehouse Worker / Associate - 2nd shift,Unknown,0,0,0,0,0,0,0,0,0,1
4,First Future,2018-09-01,Online ESL Teachers for Chinese stude,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
5,First Future,2018-09-01,Online ESL- English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
6,First Future,2018-09-01,"ESL teacher,high salary,no commuting",Teaching Jobs,0,0,0,0,0,0,0,0,1,0
7,First Future,2018-09-01,Online ESL English Teacher Wanted,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
8,First Future,2018-09-01,Part-time English Teacher working onl,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
9,BlingABC by XDF,2018-09-01,Teach English Online From Home,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
10,ESL Suite,2018-09-01,Online EFL/English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
11,BlingABC by XDF,2018-10-01,Online ESL teacher,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
12,BlingABC by XDF,2018-10-01,Online ESL Teacher $28-$36USD per 90,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
13,VIPKid,2018-11-01,Online ESL Tutor for Children,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
14,Calspan,2018-11-01,Test Engineer - Performance Tire Testing,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
15,Calspan,2018-11-01,Test Engineer - Automotive Crash,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
16,Calspan,2018-11-01,Electrical Engineering Technician,Other/General Jobs,0,0,0,0,1,0,0,0,0,0
17,Calspan,2018-11-01,Senior Mechanical Engineer - Transportation,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
18,Tesla,2018-11-01,Security Systems Technician,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
19,Tesla,2018-11-01,"Production Process Engineers, Solar Roof",Engineering Jobs,0,1,0,0,0,0,0,0,0,0
20,Tesla,2018-11-01,Material Handlers,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
21,Tesla,2018-11-01,Manufacturing Engineer,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
22,Tesla,2018-11-01,Manufacturing Training Manager,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
23,Tesla,2018-11-01,"Industrial Engineer, Factory Layout",Engineering Jobs,0,1,0,0,0,0,0,0,0,0
24,Tesla,2018-11-01,Equipment Engineer,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
25,Tesla,2018-11-01,Equipment Maintenance Technician,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
26,Tesla,2018-11-01,Security Training & Compliance Specialist,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
27,Tesla,2018-11-01,Security Systems Administrator,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
28,Tesla,2018-11-01,Security Systems Specialist,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
29,Tesla,2018-11-01,Quality Inspector - Solar Roof,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
30,Tesla,2018-11-01,Quality Engineering Supervisor,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
31,Tesla,2018-11-01,Program Manager- Product Manufacturing Introduction,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
32,Tesla,2018-11-01,Project Engineer-Product Manufacturing Introduction,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
33,Tesla,2018-11-01,Process Engineer,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
34,Tesla,2018-11-01,Production Supervisor,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
35,Tesla,2018-11-01,Quality Engineer,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
36,Tesla,2018-11-01,"Industrial Engineer, Material Flow Integration",Engineering Jobs,0,1,0,0,0,0,0,0,0,0
37,Tesla,2018-11-01,"Industrial Engineer, Factory Modeling & Simulation",Engineering Jobs,0,1,0,0,0,0,0,0,0,0
38,Tesla,2018-11-01,Equipment Maintenance Technician - U.S. Military Veterans,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
39,Tesla,2018-11-01,Engineering Technician- Product Manufacturing Introduction,Engineering Jobs,0,1,0,0,0,0,0,0,0,0
40,Tesla,2018-11-01,"Equipment Engineer, Staff Level",Engineering Jobs,0,1,0,0,0,0,0,0,0,0
41,Tesla,2018-11-01,"Senior Manufacturing Engineer, Equipment",Engineering Jobs,0,1,0,0,0,0,0,0,0,0
42,BMS Unlimited,2018-11-01,""" Class A Truck Driver-Home Daily-$1075/week",Unknown,0,0,0,0,0,0,0,0,0,1
43,LaowaiCareer,2018-11-01,Work From Home Teaching English Onlin,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
44,Vipkid,2018-11-01,Part Time - Online English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
45,VIPKid,2018-11-01,Online English Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
46,Vipkid,2018-11-01,[Remote] Part-time Online Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
47,WUHAO HONG KONG LIMITED,2018-11-01,Part-time online ESL teaching,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
48,VIPKid,2018-12-01,Online ESL Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
49,Transn IOL Technology Co..Ltd,2018-12-01,Comics Translation: Chinese-Spanish,Other/General Jobs,0,0,0,0,1,0,0,0,0,0
50,VIPKid,2018-12-01,Online English Teacher for Children,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
51,LafargeHolcim,2018-12-01,Diesel Mechanic,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
52,Olmsted Center for Sight,2018-12-01,Production Worker I,Unknown,0,0,0,0,0,0,0,0,0,1
53,Windsong Radiology Group,2018-12-01,Scheduling Secretary,Unknown,0,0,0,0,0,0,0,0,0,1
54,Merry Maids,2018-12-01,House Cleaner,Unknown,0,0,0,0,0,0,0,0,0,1
55,Mohawk Global Logistics,2018-12-01,Import Coordinator,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
56,"FedEx Trade Networks T&B, Inc.",2018-12-01,BT644 - Manager -Finance,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
57,青尚国际,2018-12-01,$15 - $25/hr on-line teacher,"PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
58,Action Link,2018-12-01,"Computer Sales Consultant - Part Time/Weekends - Amherst, NY",Retail Jobs,0,0,0,0,0,0,1,0,0,0
59,Francesca's Service Corporation,2018-12-01,Key Holder - Future Opportunities,"PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
60,Francesca's Service Corporation,2018-12-01,Assistant Store Manager - Future Opportunities,"PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
61,Mobile Mini Solutions,2018-12-01,Class A CDL Driver,Unknown,0,0,0,0,0,0,0,0,0,1
62,Usa Survey Job,2018-12-01,Data Entry - Work At Home,Admin Jobs,1,0,0,0,0,0,0,0,0,0
63,BCG Attorney Search,2019-01-01,Defense Litigation Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
