,company,date,title,All_Sectors,Customer Services Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Hospitality & Catering Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
0,Superprof,2018-07-01,"Superprof, the USA’s 1 tutoring network, is offering you the chance to become a private Trigonometry tutor - Dayton",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,Creative Foam Corporation,2018-07-01,Maintenance Technician,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,First Future,2018-09-01,Online ESL- English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,ESL Suite,2018-09-01,Online EFL/English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,First Future,2018-09-01,Online ESL English Teacher Wanted,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,First Future,2018-09-01,"ESL teacher,high salary,no commuting",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,First Future,2018-09-01,Part-time English Teacher working onl,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,First Future,2018-09-01,Online ESL Teachers for Chinese stude,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,BlingABC by XDF,2018-09-01,Teach English Online From Home,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,BlingABC by XDF,2018-10-01,Online ESL teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,Jacobs,2018-10-01,Information Assurance Specialist Journeyman,Engineering Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,BlingABC by XDF,2018-10-01,Online ESL Teacher $28-$36USD per 90,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,NOV,2018-10-01,Technical Sales Specialist,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Leidos,2018-10-01,Senior Research Scientist,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Forum,2018-11-01,Technician I,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,VIPKid,2018-11-01,Online ESL Tutor for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,NOV,2018-11-01,Manufacturing Engineer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,NOV,2018-11-01,Application Engineer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,NOV,2018-11-01,Refurb Technician,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,NOV,2018-11-01,Sr. Fitter/ Welder,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NOV,2018-11-01,Engineering Designer,"Energy, Oil & Gas Jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
