,Charity & Voluntary Jobs,Consultancy Jobs,Creative & Design Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,Graduate Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2018-02-28,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5
2018-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2018-04-30,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20
2018-05-31,0,0,0,0,0,0,1,0,0,3,0,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,6
2018-06-30,0,2,0,0,1,0,2,0,0,0,0,3,0,6,0,0,2,0,0,0,0,0,0,0,0,0,5
2018-07-31,0,1,0,0,2,0,0,0,0,1,0,1,0,1,0,0,4,0,0,0,0,0,11,3,0,0,38
2018-08-31,0,10,0,1,1,0,1,0,0,14,0,7,0,5,0,0,5,0,0,4,0,0,4,2,0,0,38
2018-09-30,0,8,0,1,0,0,0,0,0,109,0,23,0,4,0,0,4,0,0,0,0,0,4,7,0,0,39
2018-10-31,0,8,8,0,1,5,15,0,1,37,0,38,0,14,0,0,2,0,0,0,12,0,11,3,0,0,200
2018-11-30,0,17,7,4,0,41,40,0,0,46,25,41,1,48,1,4,20,10,0,1,16,0,26,36,0,0,413
2018-12-31,22,197,30,71,26,17,118,6,14,362,197,624,18,168,45,25,232,52,18,52,128,14,85,171,118,5,1414
