,company,date,title,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Consultancy Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,Graduate Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Scientific & QA Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
0,Macquarie Group,2018-04-01,Credit Analyst,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Macquarie Group,2018-04-01,Network Operations Engineer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,"Soundly Speaking Therapy Services, PLLC",2018-05-01,Speech Language Pathologist,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Babysits,2018-06-01,Babysitter wanted in Houston - babysitting Houston,Domestic help & Cleaning Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Superprof,2018-07-01,"Superprof, the USA’s 1 tutoring network, is offering you the chance to become a private tutor - Houston",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,Superprof,2018-07-01,"Superprof, the USA’s 1 tutoring network, is offering you the chance to become a private ESL tutor - Houston",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,Babysits,2018-07-01,Babysitter wanted in Houston - babysitting Houston,Domestic help & Cleaning Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Macquarie Group,2018-07-01,Unix Administration Manager,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Macquarie Group,2018-08-01,Cyber Research and Hunting Analyst,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Macquarie Group,2018-08-01,Cyber Incident Response Analyst,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,Macquarie Group,2018-08-01,Full Stack Developer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,Macquarie Group,2018-08-01,Workplace Messaging & Collaboration Engineer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,ACDi,2018-08-01,Customer Service Representative – Entry Level 12867,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
