,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,total_industries_aggr_value
0,2013-12,385,2740,1054900,1968,4096,8060928,3205,3464,11102120,4252,2520,10715040,176,3112,547712,502,3336,1674672,1133,3964,4491212,1241,3112,3861992,1912,1060,2026720,525,2108,1106700,44641996
1,2013-11,406,2740,1112440,1786,4096,7315456,3183,3464,11025912,4236,2520,10674720,163,3112,507256,501,3336,1671336,1134,3964,4495176,1240,3112,3858880,1942,1060,2058520,523,2108,1102484,43822180
2,2013-10,400,2740,1096000,1768,4096,7241728,3152,3464,10918528,4155,2520,10470600,162,3112,504144,509,3336,1698024,1163,3964,4610132,1244,3112,3871328,1960,1060,2077600,529,2108,1115132,43603216
3,2013-09,378,2700,1020600,1622,3660,5936520,3152,3212,10124224,4092,2388,9771696,172,3024,520128,499,3004,1498996,1208,3372,4073376,1227,2784,3415968,1992,1036,2063712,517,2172,1122924,39548144
4,2013-08,378,2700,1020600,1649,3660,6035340,3123,3212,10031076,4062,2388,9700056,173,3024,523152,508,3004,1526032,1208,3372,4073376,1243,2784,3460512,2052,1036,2125872,523,2172,1135956,39631972
5,2013-07,380,2700,1026000,1575,3660,5764500,3053,3212,9806236,4083,2388,9750204,176,3024,532224,510,3004,1532040,1247,3372,4204884,1224,2784,3407616,2126,1036,2202536,512,2172,1112064,39338304
6,2013-06,378,2400,907200,1640,5056,8291840,3103,3156,9793068,4116,2404,9894864,178,3124,556072,515,2988,1538820,1233,3836,4729788,1244,2648,3294112,2043,1064,2173752,522,2084,1087848,42267364
7,2013-05,374,2400,897600,1735,5056,8772160,3080,3156,9720480,4153,2404,9983812,191,3124,596684,506,2988,1511928,1248,3836,4787328,1268,2648,3357664,2084,1064,2217376,523,2084,1089932,42934964
8,2013-04,366,2400,878400,2542,5056,12852352,3086,3156,9739416,4153,2404,9983812,174,3124,543576,509,2988,1520892,1257,3836,4821852,1264,2648,3347072,1953,1064,2077992,517,2084,1077428,46842792
9,2013-03,371,2608,967568,2548,4440,11313120,3042,3352,10196784,4096,2432,9961472,178,3056,543968,487,3128,1523336,1251,3700,4628700,1288,2624,3379712,1883,1016,1913128,508,2092,1062736,45490524
10,2013-02,357,2608,931056,1918,4440,8515920,3019,3352,10119688,4059,2432,9871488,177,3056,540912,502,3128,1570256,1125,3700,4162500,1296,2624,3400704,1825,1016,1854200,502,2092,1050184,42016908
11,2013-01,350,2608,912800,1720,4440,7636800,3035,3352,10173320,4045,2432,9837440,180,3056,550080,506,3128,1582768,1088,3700,4025600,1286,2624,3374464,1813,1016,1842008,502,2092,1050184,40985464
12,2012-12,364,2816,1025024,1810,5284,9564040,2987,3396,10143852,4173,2524,10532652,169,3580,605020,514,3256,1673584,1368,5036,6889248,1278,3044,3890232,1826,1092,1993992,394,1856,731264,47048908
13,2012-11,387,2816,1089792,2231,5284,11788604,2990,3396,10154040,4177,2524,10542748,165,3580,590700,509,3256,1657304,1343,5036,6763348,1317,3044,4008948,1823,1092,1990716,395,1856,733120,49319320
14,2012-10,390,2816,1098240,1927,5284,10182268,2994,3396,10167624,4115,2524,10386260,162,3580,579960,501,3256,1631256,1349,5036,6793564,1298,3044,3951112,1787,1092,1951404,398,1856,738688,47480376
15,2012-09,354,2740,969960,1572,3664,5759808,2981,3204,9551124,4118,2348,9669064,163,3252,530076,510,2772,1413720,1317,4488,5910696,1308,2668,3489744,1812,1044,1891728,397,1796,713012,39898932
16,2012-08,360,2740,986400,1400,3664,5129600,2951,3204,9455004,4142,2348,9725416,165,3252,536580,515,2772,1427580,1375,4488,6171000,1317,2668,3513756,1873,1044,1955412,412,1796,739952,39640700
17,2012-07,361,2740,989140,1445,3664,5294480,2955,3204,9467820,4138,2348,9716024,168,3252,546336,505,2772,1399860,1398,4488,6274224,1304,2668,3479072,1874,1044,1956456,409,1796,734564,39857976
18,2012-06,375,2644,991500,1463,5332,7800716,2946,3228,9509688,4120,2364,9739680,165,3324,548460,495,2888,1429560,1400,4200,5880000,1310,2588,3390280,1900,1036,1968400,403,1744,702832,41961116
19,2012-05,367,2644,970348,1575,5332,8397900,2941,3228,9493548,4106,2364,9706584,168,3324,558432,487,2888,1406456,1354,4200,5686800,1317,2588,3408396,1906,1036,1974616,403,1744,702832,42305912
20,2012-04,369,2644,975636,2224,5332,11858368,2866,3228,9251448,4145,2364,9798780,172,3324,571728,485,2888,1400680,1322,4200,5552400,1298,2588,3359224,1879,1036,1946644,402,1744,701088,45415996
21,2012-03,359,2520,904680,2132,3920,8357440,2898,3360,9737280,4147,2356,9770332,173,3132,541836,487,2912,1418144,1261,5052,6370572,1320,2608,3442560,1743,1016,1770888,392,1772,694624,43008356
22,2012-02,336,2520,846720,1919,3920,7522480,2819,3360,9471840,4047,2356,9534732,171,3132,535572,486,2912,1415232,1271,5052,6421092,1306,2608,3406048,1685,1016,1711960,388,1772,687536,41553212
23,2012-01,322,2520,811440,1564,3920,6130880,2819,3360,9471840,4048,2356,9537088,171,3132,535572,488,2912,1421056,1249,5052,6309948,1312,2608,3421696,1703,1016,1730248,385,1772,682220,40051988
24,2011-12,348,2840,988320,1746,3792,6620832,2677,3464,9273128,4328,2404,10404512,176,3276,576576,470,2948,1385560,1255,4632,5813160,1299,2912,3782688,1758,1028,1807224,388,1748,678224,41330224
25,2011-11,368,2840,1045120,1660,3792,6294720,2631,3464,9113784,4340,2404,10433360,173,3276,566748,470,2948,1385560,1240,4632,5743680,1307,2912,3805984,1749,1028,1797972,385,1748,672980,40859908
26,2011-10,386,2840,1096240,1496,3792,5672832,2606,3464,9027184,4247,2404,10209788,177,3276,579852,465,2948,1370820,1217,4632,5637144,1306,2912,3803072,1785,1028,1834980,393,1748,686964,39918876
27,2011-09,353,2652,936156,1407,3744,5267808,2585,3312,8561520,4212,2404,10125648,176,3516,618816,462,2652,1225224,1208,4596,5551968,1319,2620,3455780,1850,1016,1879600,417,1804,752268,38374788
28,2011-08,351,2652,930852,1310,3744,4904640,2573,3312,8521776,4200,2404,10096800,176,3516,618816,472,2652,1251744,1198,4596,5506008,1296,2620,3395520,1868,1016,1897888,422,1804,761288,37885332
29,2011-07,339,2652,899028,1524,3744,5705856,2583,3312,8554896,4136,2404,9942944,176,3516,618816,483,2652,1280916,1192,4596,5478432,1295,2620,3392900,1887,1016,1917192,415,1804,748660,38539640
30,2011-06,308,2472,761376,1600,4464,7142400,2600,3292,8559200,4171,2268,9459828,176,3216,566016,515,2600,1339000,1204,4112,4950848,1346,2468,3321928,1879,996,1871484,404,1684,680336,38652416
31,2011-05,309,2472,763848,1711,4464,7637904,2550,3292,8394600,4136,2268,9380448,172,3216,553152,511,2600,1328600,1159,4112,4765808,1339,2468,3304652,1832,996,1824672,384,1684,646656,38600340
32,2011-04,312,2472,771264,1701,4464,7593264,2501,3292,8233292,4117,2268,9337356,170,3216,546720,521,2600,1354600,1187,4112,4880944,1356,2468,3346608,1797,996,1789812,389,1684,655076,38508936
33,2011-03,318,2532,805176,2450,4748,11632600,2422,3348,8108856,4079,2192,8941168,171,2972,508212,515,2764,1423460,1143,4760,5440680,1323,2472,3270456,1764,924,1629936,373,1632,608736,42369280
34,2011-02,306,2532,774792,2062,4748,9790376,2421,3348,8105508,4037,2192,8849104,169,2972,502268,521,2764,1440044,1113,4760,5297880,1310,2472,3238320,1739,924,1606836,372,1632,607104,40212232
35,2011-01,300,2532,759600,1808,4748,8584384,2432,3348,8142336,4056,2192,8890752,172,2972,511184,521,2764,1440044,1078,4760,5131280,1291,2472,3191352,1697,924,1568028,369,1632,602208,38821168
36,2010-12,404,3516,1420464,1889,4688,8855632,2408,3532,8505056,4197,2460,10324620,172,3344,575168,524,3032,1588768,1060,4528,4799680,1325,2956,3916700,1762,976,1719712,373,1840,686320,42392120
37,2010-11,422,3516,1483752,2569,4688,12043472,2373,3532,8381436,4171,2460,10260660,175,3344,585200,526,3032,1594832,1025,4528,4641200,1314,2956,3884184,1744,976,1702144,378,1840,695520,45272400
38,2010-10,435,3516,1529460,2505,4688,11743440,2374,3532,8384968,4118,2460,10130280,173,3344,578512,524,3032,1588768,1013,4528,4586864,1316,2956,3890096,1761,976,1718736,371,1840,682640,44833764
39,2010-09,437,4908,2144796,1872,3728,6978816,2331,3412,7953372,4119,2308,9506652,173,3176,549448,533,2616,1394328,1037,3932,4077484,1327,2500,3317500,1726,988,1705288,373,1732,646036,38273720
40,2010-08,414,4908,2031912,1476,3728,5502528,2366,3412,8072792,4115,2308,9497420,172,3176,546272,523,2616,1368168,1030,3932,4049960,1330,2500,3325000,1767,988,1745796,380,1732,658160,36798008
