,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
0,2017-12,194,4068,789192,2625,4476,11749500,2407,4180,10061260,6401,2280,14594280,193.0,3220.0,621460.0,1662,4576,7605312,1897,3924,7443828,2392,2324,5559008,3592,1112,3994304,622,2576,1602272,8.0,1176.0,9408.0,64029824.0
1,2017-11,197,4068,801396,2580,4476,11548080,2525,4180,10554500,6383,2280,14553240,190.0,3220.0,611800.0,1747,4576,7994272,1879,3924,7373196,2409,2324,5598516,3648,1112,4056576,626,2576,1612576,8.0,1176.0,9408.0,64713560.0
2,2017-10,198,4068,805464,2548,4476,11404848,2540,4180,10617200,6238,2280,14222640,164.0,3220.0,528080.0,1702,4576,7788352,1896,3924,7439904,2403,2324,5584572,3632,1112,4038784,604,2576,1555904,7.0,1176.0,8232.0,63993980.0
3,2017-09,197,3764,741508,2460,4144,10194240,2586,4304,11130144,6214,2236,13894504,163.0,3032.0,494216.0,1643,4200,6900600,1852,3372,6244944,2366,2236,5290376,3672,1096,4024512,593,2604,1544172,7.0,1220.0,8540.0,60467756.0
4,2017-08,206,3764,775384,2495,4144,10339280,2570,4304,11061280,6197,2236,13856492,195.0,3032.0,591240.0,1600,4200,6720000,1863,3372,6282036,2418,2236,5406648,3635,1096,3983960,578,2604,1505112,7.0,1220.0,8540.0,60529972.0
5,2017-07,201,3764,756564,2523,4144,10455312,2601,4304,11194704,6172,2236,13800592,220.0,3032.0,667040.0,1620,4200,6804000,1857,3372,6261804,2382,2236,5326152,3624,1096,3971904,563,2604,1466052,6.0,1220.0,7320.0,60711444.0
6,2017-06,212,3292,697904,2498,4236,10581528,2656,4380,11633280,6323,2216,14011768,,,,1619,4100,6637900,1875,3348,6277500,2365,2292,5420580,3571,1096,3913816,566,2580,1460280,,,,
7,2017-05,208,3292,684736,2448,4236,10369728,2622,4380,11484360,6234,2216,13814544,,,,1678,4100,6879800,1935,3348,6478380,2372,2292,5436624,3628,1096,3976288,581,2580,1498980,,,,
8,2017-04,196,3292,645232,2430,4236,10293480,2618,4380,11466840,6209,2216,13759144,,,,1732,4100,7101200,1949,3348,6525252,2344,2292,5372448,3581,1096,3924776,554,2580,1429320,,,,
9,2017-03,187,3620,676940,2500,5136,12840000,2722,4556,12401432,6217,2364,14696988,,,,1861,4420,8225620,1851,3332,6167532,2267,2228,5050876,3552,1080,3836160,571,2524,1441204,,,,
