,Charity & Voluntary Jobs,Consultancy Jobs,Creative & Design Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,Graduate Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Part time Jobs,Property Jobs,Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
2018-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2018-02-28,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2018-03-31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
2018-04-30,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2018-05-31,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2018-06-30,0,0,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2018-07-31,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,3,0,0,8
2018-08-31,0,0,0,0,2,0,0,0,0,14,0,0,0,3,0,0,3,0,0,0,5,1,0,1,2,0,0,15
2018-09-30,0,1,0,0,1,0,0,0,0,165,0,3,0,1,0,0,4,0,0,0,0,0,0,2,7,0,0,17
2018-10-31,0,0,18,0,2,0,2,0,0,12,0,1,1,4,0,0,2,0,0,0,6,24,1,2,4,0,0,52
2018-11-30,0,1,18,13,1,0,4,0,1,61,1,17,2,19,0,2,30,9,0,2,9,20,2,2,13,0,0,204
2018-12-31,1,63,25,39,16,3,36,1,7,193,160,148,25,88,20,18,87,65,0,19,49,101,15,38,21,62,10,510
