,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,total_industries_aggr_value
0,2017-12,3723,2036,7580028,465,2720,1264800,370,2556,945720,2392,2316,5539872,122,3368,410896,316,2296,725536,423,3096,1309608,1640,2852,4677280,1239,1404,1739556,233,1620,377460,24570756
1,2017-11,4099,2036,8345564,482,2720,1311040,366,2556,935496,2384,2316,5521344,118,3368,397424,312,2296,716352,416,3096,1287936,1597,2852,4554644,1212,1404,1701648,239,1620,387180,25158628
2,2017-10,6158,2036,12537688,497,2720,1351840,374,2556,955944,2315,2316,5361540,121,3368,407528,317,2296,727832,427,3096,1321992,1616,2852,4608832,1355,1404,1902420,271,1620,439020,29614636
3,2017-09,7509,1980,14867820,521,2816,1467136,367,2580,946860,2360,2308,5446880,114,3324,378936,320,2228,712960,443,2936,1300648,1583,2916,4616028,1550,1500,2325000,219,1748,382812,32445080
4,2017-08,7577,1980,15002460,532,2816,1498112,373,2580,962340,2521,2308,5818468,115,3324,382260,309,2228,688452,465,2936,1365240,1545,2916,4505220,1584,1500,2376000,229,1748,400292,32998844
5,2017-07,9342,1980,18497160,533,2816,1500928,371,2580,957180,2615,2308,6035420,115,3324,382260,320,2228,712960,456,2936,1338816,1524,2916,4443984,1648,1500,2472000,247,1748,431756,36772464
6,2017-06,5956,1888,11244928,512,2576,1318912,366,2640,966240,2451,2156,5284356,115,3152,362480,315,2176,685440,437,2920,1276040,1561,2732,4264652,1549,1292,2001308,231,1700,392700,27797056
7,2017-05,4730,1888,8930240,493,2576,1269968,367,2640,968880,2281,2156,4917836,118,3152,371936,310,2176,674560,403,2920,1176760,1558,2732,4256456,1419,1292,1833348,234,1700,397800,24797784
8,2017-04,4583,1888,8652704,468,2576,1205568,358,2640,945120,2233,2156,4814348,117,3152,368784,284,2176,617984,388,2920,1132960,1558,2732,4256456,1278,1292,1651176,219,1700,372300,24017400
9,2017-03,4200,1948,8181600,405,2064,835920,353,2432,858496,2173,2232,4850136,117,3500,409500,308,2116,651728,408,2392,975936,1557,2884,4490388,1192,1260,1501920,222,1732,384504,23140128
10,2017-02,4030,1948,7850440,405,2064,835920,513,2432,1247616,2152,2232,4803264,116,3500,406000,311,2116,658076,399,2392,954408,1555,2884,4484620,1186,1260,1494360,215,1732,372380,23107084
11,2017-01,3641,1948,7092668,406,2064,837984,544,2432,1323008,2192,2232,4892544,120,3500,420000,313,2116,662308,394,2392,942448,1549,2884,4467316,1225,1260,1543500,215,1732,372380,22554156
12,2016-12,3866,1804,6974264,480,2524,1211520,573,2880,1650240,2332,2108,4915856,107,3480,372360,327,2204,720708,406,2764,1122184,1563,2676,4182588,1345,1284,1726980,245,1588,389060,23265760
13,2016-11,4779,1804,8621316,493,2524,1244332,578,2880,1664640,2369,2108,4993852,101,3480,351480,325,2204,716300,398,2764,1100072,1544,2676,4131744,1332,1284,1710288,290,1588,460520,24994544
14,2016-10,6350,1804,11455400,511,2524,1289764,579,2880,1667520,2376,2108,5008608,98,3480,341040,338,2204,744952,404,2764,1116656,1568,2676,4195968,1476,1284,1895184,237,1588,376356,28091448
15,2016-09,8212,1876,15405712,525,2564,1346100,580,2796,1621680,2398,2184,5237232,120,3084,370080,311,2084,648124,451,2576,1161776,1585,2700,4279500,1649,1348,2222852,238,1744,415072,32708128
16,2016-08,8211,1876,15403836,540,2564,1384560,579,2796,1618884,2421,2184,5287464,123,3084,379332,321,2084,668964,465,2576,1197840,1567,2700,4230900,1694,1348,2283512,244,1744,425536,32880828
17,2016-07,8748,1876,16411248,530,2564,1358920,579,2796,1618884,2545,2184,5558280,124,3084,382416,316,2084,658544,475,2576,1223600,1556,2700,4201200,1649,1348,2222852,253,1744,441232,34077176
18,2016-06,8770,1600,14032000,524,2488,1303712,571,2680,1530280,2528,2120,5359360,118,3240,382320,325,1996,648700,451,2480,1118480,1635,2616,4277160,1527,1208,1844616,240,1700,408000,30904628
19,2016-05,6096,1600,9753600,520,2488,1293760,557,2680,1492760,2351,2120,4984120,119,3240,385560,322,1996,642712,429,2480,1063920,1615,2616,4224840,1408,1208,1700864,230,1700,391000,25933136
20,2016-04,5558,1600,8892800,504,2488,1253952,561,2680,1503480,2320,2120,4918400,120,3240,388800,304,1996,606784,408,2480,1011840,1610,2616,4211760,1241,1208,1499128,221,1700,375700,24662644
21,2016-03,4391,1744,7657904,453,1992,902376,523,2488,1301224,2282,2024,4618768,119,2948,350812,316,1952,616832,385,2280,877800,1599,2504,4003896,1165,1216,1416640,220,1616,355520,22101772
22,2016-02,4299,1744,7497456,441,1992,878472,510,2488,1268880,2223,2024,4499352,119,2948,350812,320,1952,624640,403,2280,918840,1590,2504,3981360,1139,1216,1385024,212,1616,342592,21747428
23,2016-01,3832,1744,6683008,431,1992,858552,509,2488,1266392,2185,2024,4422440,120,2948,353760,314,1952,612928,425,2280,969000,1579,2504,3953816,1148,1216,1395968,206,1616,332896,20848760
24,2015-12,3928,1948,7651744,489,2512,1228368,533,2796,1490268,2354,2136,5028144,122,3080,375760,317,2088,661896,430,2508,1078440,1499,2736,4101264,1232,1224,1507968,227,1628,369556,23493408
25,2015-11,4779,1948,9309492,519,2512,1303728,524,2796,1465104,2367,2136,5055912,120,3080,369600,308,2088,643104,398,2508,998184,1457,2736,3986352,1191,1224,1457784,247,1628,402116,24991376
26,2015-10,6237,1948,12149676,533,2512,1338896,563,2796,1574148,2393,2136,5111448,116,3080,357280,312,2088,651456,427,2508,1070916,1489,2736,4073904,1362,1224,1667088,220,1628,358160,28352972
27,2015-09,8425,1784,15030200,554,2732,1513528,533,2916,1554228,2492,2136,5322912,119,3104,369376,295,2092,617140,455,2572,1170260,1501,2464,3698464,1474,1280,1886720,207,1732,358524,31521352
