,company,date,title,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Engineering Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
0,Select Source International,2018-03-01,Staff Engineer,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Superprof,2018-07-01,"Superprof, the USA’s 1 tutoring network, is offering you the chance to become a private tutor - San Jose",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,First Future,2018-09-01,Part-time English Teacher working onl,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,First Future,2018-09-01,Online ESL English Teacher Wanted,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,First Future,2018-09-01,"ESL teacher,high salary,no commuting",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,First Future,2018-09-01,Online ESL- English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,BlingABC by XDF,2018-09-01,Teach English Online From Home,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,First Future,2018-09-01,Online ESL Teachers for Chinese stude,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,ESL Suite,2018-09-01,Online EFL/English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,BlingABC by XDF,2018-10-01,Online ESL teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,BlingABC by XDF,2018-10-01,Online ESL Teacher $28-$36USD per 90,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,ProCare Therapy,2018-11-01,"Full Time San Jose, NM SLP Job",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,VIPKid,2018-11-01,Online ESL Tutor for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,"Cypress Independent Living Services, Inc.",2018-11-01,Life Skills Coach - Santa Clara County,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Forsakers.org,2018-11-01,"Ambitions International Christian Ministry Project Adv Wordpress Coders, API and Database management & Interoperability",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Tesla,2018-11-01,Collision Technician - San Jose,Engineering Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Tesla,2018-11-01,Customer Experience Specialist,Engineering Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Tesla,2018-11-01,Collision Repair Customer Support,Engineering Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Tesla,2018-11-01,Owner Advisor,Engineering Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
